Name1 Surname1 7,78 4,41 3,01 6,43 8,23 3,6
Name2014 Surname2014 2,24 6,5 4,49 6,12 6,03 2,87
Name2015 Surname2015 2,24 6,5 4,49 6,12 6,03 2,87
Name2016 Surname2016 2,24 6,5 4,49 6,12 6,03 2,87
Name2017 Surname2017 2,24 6,5 4,49 6,12 6,03 2,87
Name2018 Surname2018 2,24 6,5 4,49 6,12 6,03 2,87
Name2019 Surname2019 2,24 6,5 4,49 6,12 6,03 2,87
Name2020 Surname2020 2,24 6,5 4,49 6,12 6,03 2,87
Name2021 Surname2021 2,24 6,5 4,49 6,12 6,03 2,87
Name2022 Surname2022 2,24 6,5 4,49 6,12 6,03 2,87
Name2023 Surname2023 2,24 6,5 4,49 6,12 6,03 2,87
Name2024 Surname2024 2,24 6,5 4,49 6,12 6,03 2,87
Name2025 Surname2025 2,24 6,5 4,49 6,12 6,03 2,87
Name2026 Surname2026 2,24 6,5 4,49 6,12 6,03 2,87
Name2027 Surname2027 2,24 6,5 4,49 6,12 6,03 2,87
Name2028 Surname2028 2,24 6,5 4,49 6,12 6,03 2,87
Name2029 Surname2029 2,24 6,5 4,49 6,12 6,03 2,87
Name2030 Surname2030 2,24 6,5 4,49 6,12 6,03 2,87
Name2031 Surname2031 2,24 6,5 4,49 6,12 6,03 2,87
Name2032 Surname2032 2,24 6,5 4,49 6,12 6,03 2,87
Name2033 Surname2033 2,24 6,5 4,49 6,12 6,03 2,87
Name2034 Surname2034 2,24 6,5 4,49 6,12 6,03 2,87
Name2035 Surname2035 2,24 6,5 4,49 6,12 6,03 2,87
Name2036 Surname2036 2,24 6,5 4,49 6,12 6,03 2,87
Name2037 Surname2037 2,24 6,5 4,49 6,12 6,03 2,87
Name2038 Surname2038 2,24 6,5 4,49 6,12 6,03 2,87
Name2039 Surname2039 2,24 6,5 4,49 6,12 6,03 2,87
Name2040 Surname2040 2,24 6,5 4,49 6,12 6,03 2,87
Name2041 Surname2041 2,24 6,5 4,49 6,12 6,03 2,87
Name2042 Surname2042 2,24 6,5 4,49 6,12 6,03 2,87
Name2043 Surname2043 2,24 6,5 4,49 6,12 6,03 2,87
Name2044 Surname2044 2,24 6,5 4,49 6,12 6,03 2,87
Name2045 Surname2045 2,24 6,5 4,49 6,12 6,03 2,87
Name2046 Surname2046 2,24 6,5 4,49 6,12 6,03 2,87
Name2047 Surname2047 2,24 6,5 4,49 6,12 6,03 2,87
Name2048 Surname2048 2,24 6,5 4,49 6,12 6,03 2,87
Name2049 Surname2049 2,24 6,5 4,49 6,12 6,03 2,87
Name2050 Surname2050 2,24 6,5 4,49 6,12 6,03 2,87
Name2051 Surname2051 2,24 6,5 4,49 6,12 6,03 2,87
Name2052 Surname2052 2,24 6,5 4,49 6,12 6,03 2,87
Name2053 Surname2053 2,24 6,5 4,49 6,12 6,03 2,87
Name2054 Surname2054 2,24 6,5 4,49 6,12 6,03 2,87
Name2055 Surname2055 2,24 6,5 4,49 6,12 6,03 2,87
Name2056 Surname2056 2,24 6,5 4,49 6,12 6,03 2,87
Name2057 Surname2057 2,24 6,5 4,49 6,12 6,03 2,87
Name2058 Surname2058 2,24 6,5 4,49 6,12 6,03 2,87
Name2059 Surname2059 2,24 6,5 4,49 6,12 6,03 2,87
Name2060 Surname2060 2,24 6,5 4,49 6,12 6,03 2,87
Name2061 Surname2061 2,24 6,5 4,49 6,12 6,03 2,87
Name2062 Surname2062 2,24 6,5 4,49 6,12 6,03 2,87
Name2063 Surname2063 2,24 6,5 4,49 6,12 6,03 2,87
Name2064 Surname2064 2,24 6,5 4,49 6,12 6,03 2,87
Name2065 Surname2065 2,24 6,5 4,49 6,12 6,03 2,87
Name2066 Surname2066 2,24 6,5 4,49 6,12 6,03 2,87
Name2067 Surname2067 2,24 6,5 4,49 6,12 6,03 2,87
Name2068 Surname2068 2,24 6,5 4,49 6,12 6,03 2,87
Name2069 Surname2069 2,24 6,5 4,49 6,12 6,03 2,87
Name2070 Surname2070 2,24 6,5 4,49 6,12 6,03 2,87
Name2071 Surname2071 2,24 6,5 4,49 6,12 6,03 2,87
Name2072 Surname2072 2,24 6,5 4,49 6,12 6,03 2,87
Name2073 Surname2073 2,24 6,5 4,49 6,12 6,03 2,87
Name2074 Surname2074 2,24 6,5 4,49 6,12 6,03 2,87
Name2075 Surname2075 2,24 6,5 4,49 6,12 6,03 2,87
Name2076 Surname2076 2,24 6,5 4,49 6,12 6,03 2,87
Name2077 Surname2077 2,24 6,5 4,49 6,12 6,03 2,87
Name2078 Surname2078 2,24 6,5 4,49 6,12 6,03 2,87
Name2079 Surname2079 2,24 6,5 4,49 6,12 6,03 2,87
Name2080 Surname2080 2,24 6,5 4,49 6,12 6,03 2,87
Name2081 Surname2081 2,24 6,5 4,49 6,12 6,03 2,87
Name2082 Surname2082 2,24 6,5 4,49 6,12 6,03 2,87
Name2083 Surname2083 2,24 6,5 4,49 6,12 6,03 2,87
Name2084 Surname2084 2,24 6,5 4,49 6,12 6,03 2,87
Name2085 Surname2085 2,24 6,5 4,49 6,12 6,03 2,87
Name2086 Surname2086 2,24 6,5 4,49 6,12 6,03 2,87
Name2087 Surname2087 2,24 6,5 4,49 6,12 6,03 2,87
Name2088 Surname2088 2,24 6,5 4,49 6,12 6,03 2,87
Name2089 Surname2089 2,24 6,5 4,49 6,12 6,03 2,87
Name2090 Surname2090 2,24 6,5 4,49 6,12 6,03 2,87
Name2091 Surname2091 2,24 6,5 4,49 6,12 6,03 2,87
Name2092 Surname2092 2,24 6,5 4,49 6,12 6,03 2,87
Name2093 Surname2093 2,24 6,5 4,49 6,12 6,03 2,87
Name2094 Surname2094 2,24 6,5 4,49 6,12 6,03 2,87
Name2095 Surname2095 2,24 6,5 4,49 6,12 6,03 2,87
Name2096 Surname2096 2,24 6,5 4,49 6,12 6,03 2,87
Name2097 Surname2097 2,24 6,5 4,49 6,12 6,03 2,87
Name2098 Surname2098 2,24 6,5 4,49 6,12 6,03 2,87
Name2099 Surname2099 2,24 6,5 4,49 6,12 6,03 2,87
Name2100 Surname2100 2,24 6,5 4,49 6,12 6,03 2,87
Name2101 Surname2101 2,24 6,5 4,49 6,12 6,03 2,87
Name2102 Surname2102 2,24 6,5 4,49 6,12 6,03 2,87
Name2103 Surname2103 2,24 6,5 4,49 6,12 6,03 2,87
Name2104 Surname2104 2,24 6,5 4,49 6,12 6,03 2,87
Name2105 Surname2105 2,24 6,5 4,49 6,12 6,03 2,87
Name2106 Surname2106 2,24 6,5 4,49 6,12 6,03 2,87
Name2107 Surname2107 2,24 6,5 4,49 6,12 6,03 2,87
Name2108 Surname2108 2,24 6,5 4,49 6,12 6,03 2,87
Name2109 Surname2109 2,24 6,5 4,49 6,12 6,03 2,87
Name2110 Surname2110 2,24 6,5 4,49 6,12 6,03 2,87
Name2111 Surname2111 2,24 6,5 4,49 6,12 6,03 2,87
Name2112 Surname2112 2,24 6,5 4,49 6,12 6,03 2,87
Name2113 Surname2113 2,24 6,5 4,49 6,12 6,03 2,87
Name2114 Surname2114 2,24 6,5 4,49 6,12 6,03 2,87
Name2115 Surname2115 2,24 6,5 4,49 6,12 6,03 2,87
Name2116 Surname2116 2,24 6,5 4,49 6,12 6,03 2,87
Name2117 Surname2117 2,24 6,5 4,49 6,12 6,03 2,87
Name2118 Surname2118 2,24 6,5 4,49 6,12 6,03 2,87
Name2119 Surname2119 2,24 6,5 4,49 6,12 6,03 2,87
Name2120 Surname2120 2,24 6,5 4,49 6,12 6,03 2,87
Name2121 Surname2121 2,24 6,5 4,49 6,12 6,03 2,87
Name2122 Surname2122 2,24 6,5 4,49 6,12 6,03 2,87
Name2123 Surname2123 2,24 6,5 4,49 6,12 6,03 2,87
Name2124 Surname2124 2,24 6,5 4,49 6,12 6,03 2,87
Name2125 Surname2125 2,24 6,5 4,49 6,12 6,03 2,87
Name2126 Surname2126 2,24 6,5 4,49 6,12 6,03 2,87
Name2127 Surname2127 2,24 6,5 4,49 6,12 6,03 2,87
Name2128 Surname2128 2,24 6,5 4,49 6,12 6,03 2,87
Name2129 Surname2129 2,24 6,5 4,49 6,12 6,03 2,87
Name2130 Surname2130 2,24 6,5 4,49 6,12 6,03 2,87
Name2131 Surname2131 2,24 6,5 4,49 6,12 6,03 2,87
Name2132 Surname2132 2,24 6,5 4,49 6,12 6,03 2,87
Name2133 Surname2133 2,24 6,5 4,49 6,12 6,03 2,87
Name2134 Surname2134 2,24 6,5 4,49 6,12 6,03 2,87
Name2135 Surname2135 2,24 6,5 4,49 6,12 6,03 2,87
Name2136 Surname2136 2,24 6,5 4,49 6,12 6,03 2,87
Name2137 Surname2137 2,24 6,5 4,49 6,12 6,03 2,87
Name2138 Surname2138 2,24 6,5 4,49 6,12 6,03 2,87
Name2139 Surname2139 2,24 6,5 4,49 6,12 6,03 2,87
Name2140 Surname2140 2,24 6,5 4,49 6,12 6,03 2,87
Name2141 Surname2141 2,24 6,5 4,49 6,12 6,03 2,87
Name2142 Surname2142 2,24 6,5 4,49 6,12 6,03 2,87
Name2143 Surname2143 2,24 6,5 4,49 6,12 6,03 2,87
Name2144 Surname2144 2,24 6,5 4,49 6,12 6,03 2,87
Name2145 Surname2145 2,24 6,5 4,49 6,12 6,03 2,87
Name2146 Surname2146 2,24 6,5 4,49 6,12 6,03 2,87
Name2147 Surname2147 2,24 6,5 4,49 6,12 6,03 2,87
Name2148 Surname2148 2,24 6,5 4,49 6,12 6,03 2,87
Name2149 Surname2149 2,24 6,5 4,49 6,12 6,03 2,87
Name2150 Surname2150 2,24 6,5 4,49 6,12 6,03 2,87
Name2151 Surname2151 2,24 6,5 4,49 6,12 6,03 2,87
Name2152 Surname2152 2,24 6,5 4,49 6,12 6,03 2,87
Name2153 Surname2153 2,24 6,5 4,49 6,12 6,03 2,87
Name2154 Surname2154 2,24 6,5 4,49 6,12 6,03 2,87
Name2155 Surname2155 2,24 6,5 4,49 6,12 6,03 2,87
Name2156 Surname2156 2,24 6,5 4,49 6,12 6,03 2,87
Name2157 Surname2157 2,24 6,5 4,49 6,12 6,03 2,87
Name2158 Surname2158 2,24 6,5 4,49 6,12 6,03 2,87
Name2159 Surname2159 2,24 6,5 4,49 6,12 6,03 2,87
Name2160 Surname2160 2,24 6,5 4,49 6,12 6,03 2,87
Name2161 Surname2161 2,24 6,5 4,49 6,12 6,03 2,87
Name2162 Surname2162 2,24 6,5 4,49 6,12 6,03 2,87
Name2163 Surname2163 2,24 6,5 4,49 6,12 6,03 2,87
Name2164 Surname2164 2,24 6,5 4,49 6,12 6,03 2,87
Name2165 Surname2165 2,24 6,5 4,49 6,12 6,03 2,87
Name2166 Surname2166 2,24 6,5 4,49 6,12 6,03 2,87
Name2167 Surname2167 2,24 6,5 4,49 6,12 6,03 2,87
Name2168 Surname2168 2,24 6,5 4,49 6,12 6,03 2,87
Name2169 Surname2169 2,24 6,5 4,49 6,12 6,03 2,87
Name2170 Surname2170 2,24 6,5 4,49 6,12 6,03 2,87
Name2171 Surname2171 2,24 6,5 4,49 6,12 6,03 2,87
Name2172 Surname2172 2,24 6,5 4,49 6,12 6,03 2,87
Name2173 Surname2173 2,24 6,5 4,49 6,12 6,03 2,87
Name2174 Surname2174 2,24 6,5 4,49 6,12 6,03 2,87
Name2175 Surname2175 2,24 6,5 4,49 6,12 6,03 2,87
Name2176 Surname2176 2,24 6,5 4,49 6,12 6,03 2,87
Name2177 Surname2177 2,24 6,5 4,49 6,12 6,03 2,87
Name2178 Surname2178 2,24 6,5 4,49 6,12 6,03 2,87
Name2179 Surname2179 2,24 6,5 4,49 6,12 6,03 2,87
Name2180 Surname2180 2,24 6,5 4,49 6,12 6,03 2,87
Name2181 Surname2181 2,24 6,5 4,49 6,12 6,03 2,87
Name2182 Surname2182 2,24 6,5 4,49 6,12 6,03 2,87
Name2183 Surname2183 2,24 6,5 4,49 6,12 6,03 2,87
Name2184 Surname2184 2,24 6,5 4,49 6,12 6,03 2,87
Name2185 Surname2185 2,24 6,5 4,49 6,12 6,03 2,87
Name2186 Surname2186 2,24 6,5 4,49 6,12 6,03 2,87
Name2187 Surname2187 2,24 6,5 4,49 6,12 6,03 2,87
Name2188 Surname2188 2,24 6,5 4,49 6,12 6,03 2,87
Name2189 Surname2189 2,24 6,5 4,49 6,12 6,03 2,87
Name2190 Surname2190 2,24 6,5 4,49 6,12 6,03 2,87
Name2191 Surname2191 2,24 6,5 4,49 6,12 6,03 2,87
Name2192 Surname2192 2,24 6,5 4,49 6,12 6,03 2,87
Name2193 Surname2193 2,24 6,5 4,49 6,12 6,03 2,87
Name2194 Surname2194 2,24 6,5 4,49 6,12 6,03 2,87
Name2195 Surname2195 2,24 6,5 4,49 6,12 6,03 2,87
Name2196 Surname2196 2,24 6,5 4,49 6,12 6,03 2,87
Name2197 Surname2197 2,24 6,5 4,49 6,12 6,03 2,87
Name2198 Surname2198 2,24 6,5 4,49 6,12 6,03 2,87
Name2199 Surname2199 2,24 6,5 4,49 6,12 6,03 2,87
Name2200 Surname2200 2,24 6,5 4,49 6,12 6,03 2,87
Name2201 Surname2201 2,24 6,5 4,49 6,12 6,03 2,87
Name2202 Surname2202 2,24 6,5 4,49 6,12 6,03 2,87
Name2203 Surname2203 2,24 6,5 4,49 6,12 6,03 2,87
Name2204 Surname2204 2,24 6,5 4,49 6,12 6,03 2,87
Name2205 Surname2205 2,24 6,5 4,49 6,12 6,03 2,87
Name2206 Surname2206 2,24 6,5 4,49 6,12 6,03 2,87
Name2207 Surname2207 2,24 6,5 4,49 6,12 6,03 2,87
Name2208 Surname2208 2,24 6,5 4,49 6,12 6,03 2,87
Name2209 Surname2209 2,24 6,5 4,49 6,12 6,03 2,87
Name2210 Surname2210 2,24 6,5 4,49 6,12 6,03 2,87
Name2211 Surname2211 2,24 6,5 4,49 6,12 6,03 2,87
Name2212 Surname2212 2,24 6,5 4,49 6,12 6,03 2,87
Name2213 Surname2213 2,24 6,5 4,49 6,12 6,03 2,87
Name2214 Surname2214 2,24 6,5 4,49 6,12 6,03 2,87
Name2215 Surname2215 2,24 6,5 4,49 6,12 6,03 2,87
Name2216 Surname2216 2,24 6,5 4,49 6,12 6,03 2,87
Name2217 Surname2217 2,24 6,5 4,49 6,12 6,03 2,87
Name2218 Surname2218 2,24 6,5 4,49 6,12 6,03 2,87
Name2219 Surname2219 2,24 6,5 4,49 6,12 6,03 2,87
Name2220 Surname2220 2,24 6,5 4,49 6,12 6,03 2,87
Name2221 Surname2221 2,24 6,5 4,49 6,12 6,03 2,87
Name2222 Surname2222 2,24 6,5 4,49 6,12 6,03 2,87
Name2223 Surname2223 2,24 6,5 4,49 6,12 6,03 2,87
Name2224 Surname2224 2,24 6,5 4,49 6,12 6,03 2,87
Name2225 Surname2225 2,24 6,5 4,49 6,12 6,03 2,87
Name2226 Surname2226 2,24 6,5 4,49 6,12 6,03 2,87
Name2227 Surname2227 2,24 6,5 4,49 6,12 6,03 2,87
Name2228 Surname2228 2,24 6,5 4,49 6,12 6,03 2,87
Name2229 Surname2229 2,24 6,5 4,49 6,12 6,03 2,87
Name2230 Surname2230 2,24 6,5 4,49 6,12 6,03 2,87
Name2231 Surname2231 2,24 6,5 4,49 6,12 6,03 2,87
Name2232 Surname2232 2,24 6,5 4,49 6,12 6,03 2,87
Name2233 Surname2233 2,24 6,5 4,49 6,12 6,03 2,87
Name2234 Surname2234 2,24 6,5 4,49 6,12 6,03 2,87
Name2235 Surname2235 2,24 6,5 4,49 6,12 6,03 2,87
Name2236 Surname2236 2,24 6,5 4,49 6,12 6,03 2,87
Name2237 Surname2237 2,24 6,5 4,49 6,12 6,03 2,87
Name2238 Surname2238 2,24 6,5 4,49 6,12 6,03 2,87
Name2239 Surname2239 2,24 6,5 4,49 6,12 6,03 2,87
Name2240 Surname2240 2,24 6,5 4,49 6,12 6,03 2,87
Name2241 Surname2241 2,24 6,5 4,49 6,12 6,03 2,87
Name2242 Surname2242 2,24 6,5 4,49 6,12 6,03 2,87
Name2243 Surname2243 2,24 6,5 4,49 6,12 6,03 2,87
Name2244 Surname2244 2,24 6,5 4,49 6,12 6,03 2,87
Name2245 Surname2245 2,24 6,5 4,49 6,12 6,03 2,87
Name2246 Surname2246 2,24 6,5 4,49 6,12 6,03 2,87
Name2247 Surname2247 2,24 6,5 4,49 6,12 6,03 2,87
Name2248 Surname2248 2,24 6,5 4,49 6,12 6,03 2,87
Name2249 Surname2249 2,24 6,5 4,49 6,12 6,03 2,87
Name2250 Surname2250 2,24 6,5 4,49 6,12 6,03 2,87
Name2251 Surname2251 2,24 6,5 4,49 6,12 6,03 2,87
Name2252 Surname2252 2,24 6,5 4,49 6,12 6,03 2,87
Name2253 Surname2253 2,24 6,5 4,49 6,12 6,03 2,87
Name2254 Surname2254 2,24 6,5 4,49 6,12 6,03 2,87
Name2255 Surname2255 2,24 6,5 4,49 6,12 6,03 2,87
Name2256 Surname2256 2,24 6,5 4,49 6,12 6,03 2,87
Name2257 Surname2257 2,24 6,5 4,49 6,12 6,03 2,87
Name2258 Surname2258 2,24 6,5 4,49 6,12 6,03 2,87
Name2259 Surname2259 2,24 6,5 4,49 6,12 6,03 2,87
Name2260 Surname2260 2,24 6,5 4,49 6,12 6,03 2,87
Name2261 Surname2261 2,24 6,5 4,49 6,12 6,03 2,87
Name2262 Surname2262 2,24 6,5 4,49 6,12 6,03 2,87
Name2263 Surname2263 2,24 6,5 4,49 6,12 6,03 2,87
Name2264 Surname2264 2,24 6,5 4,49 6,12 6,03 2,87
Name2265 Surname2265 2,24 6,5 4,49 6,12 6,03 2,87
Name2266 Surname2266 2,24 6,5 4,49 6,12 6,03 2,87
Name2267 Surname2267 2,24 6,5 4,49 6,12 6,03 2,87
Name2268 Surname2268 2,24 6,5 4,49 6,12 6,03 2,87
Name2269 Surname2269 2,24 6,5 4,49 6,12 6,03 2,87
Name2270 Surname2270 2,24 6,5 4,49 6,12 6,03 2,87
Name2271 Surname2271 2,24 6,5 4,49 6,12 6,03 2,87
Name2272 Surname2272 2,24 6,5 4,49 6,12 6,03 2,87
Name2273 Surname2273 2,24 6,5 4,49 6,12 6,03 2,87
Name2274 Surname2274 2,24 6,5 4,49 6,12 6,03 2,87
Name2275 Surname2275 2,24 6,5 4,49 6,12 6,03 2,87
Name2276 Surname2276 2,24 6,5 4,49 6,12 6,03 2,87
Name2277 Surname2277 2,24 6,5 4,49 6,12 6,03 2,87
Name2278 Surname2278 2,24 6,5 4,49 6,12 6,03 2,87
Name2279 Surname2279 2,24 6,5 4,49 6,12 6,03 2,87
Name2280 Surname2280 2,24 6,5 4,49 6,12 6,03 2,87
Name2281 Surname2281 2,24 6,5 4,49 6,12 6,03 2,87
Name2282 Surname2282 2,24 6,5 4,49 6,12 6,03 2,87
Name2283 Surname2283 2,24 6,5 4,49 6,12 6,03 2,87
Name2284 Surname2284 2,24 6,5 4,49 6,12 6,03 2,87
Name2285 Surname2285 2,24 6,5 4,49 6,12 6,03 2,87
Name2286 Surname2286 2,24 6,5 4,49 6,12 6,03 2,87
Name2287 Surname2287 2,24 6,5 4,49 6,12 6,03 2,87
Name2288 Surname2288 2,24 6,5 4,49 6,12 6,03 2,87
Name2289 Surname2289 2,24 6,5 4,49 6,12 6,03 2,87
Name2290 Surname2290 2,24 6,5 4,49 6,12 6,03 2,87
Name2291 Surname2291 2,24 6,5 4,49 6,12 6,03 2,87
Name2292 Surname2292 2,24 6,5 4,49 6,12 6,03 2,87
Name2293 Surname2293 2,24 6,5 4,49 6,12 6,03 2,87
Name2294 Surname2294 2,24 6,5 4,49 6,12 6,03 2,87
Name2295 Surname2295 2,24 6,5 4,49 6,12 6,03 2,87
Name2296 Surname2296 2,24 6,5 4,49 6,12 6,03 2,87
Name2297 Surname2297 2,24 6,5 4,49 6,12 6,03 2,87
Name2298 Surname2298 2,24 6,5 4,49 6,12 6,03 2,87
Name2299 Surname2299 2,24 6,5 4,49 6,12 6,03 2,87
Name2300 Surname2300 2,24 6,5 4,49 6,12 6,03 2,87
Name2301 Surname2301 2,24 6,5 4,49 6,12 6,03 2,87
Name2302 Surname2302 2,24 6,5 4,49 6,12 6,03 2,87
Name2303 Surname2303 2,24 6,5 4,49 6,12 6,03 2,87
Name2304 Surname2304 2,24 6,5 4,49 6,12 6,03 2,87
Name2305 Surname2305 2,24 6,5 4,49 6,12 6,03 2,87
Name2306 Surname2306 2,24 6,5 4,49 6,12 6,03 2,87
Name2307 Surname2307 2,24 6,5 4,49 6,12 6,03 2,87
Name2308 Surname2308 2,24 6,5 4,49 6,12 6,03 2,87
Name2309 Surname2309 2,24 6,5 4,49 6,12 6,03 2,87
Name2310 Surname2310 2,24 6,5 4,49 6,12 6,03 2,87
Name2311 Surname2311 2,24 6,5 4,49 6,12 6,03 2,87
Name2312 Surname2312 2,24 6,5 4,49 6,12 6,03 2,87
Name2313 Surname2313 2,24 6,5 4,49 6,12 6,03 2,87
Name2314 Surname2314 2,24 6,5 4,49 6,12 6,03 2,87
Name2315 Surname2315 2,24 6,5 4,49 6,12 6,03 2,87
Name2316 Surname2316 2,24 6,5 4,49 6,12 6,03 2,87
Name2317 Surname2317 2,24 6,5 4,49 6,12 6,03 2,87
Name2318 Surname2318 2,24 6,5 4,49 6,12 6,03 2,87
Name2319 Surname2319 2,24 6,5 4,49 6,12 6,03 2,87
Name2320 Surname2320 2,24 6,5 4,49 6,12 6,03 2,87
Name2321 Surname2321 2,24 6,5 4,49 6,12 6,03 2,87
Name2322 Surname2322 2,24 6,5 4,49 6,12 6,03 2,87
Name2323 Surname2323 2,24 6,5 4,49 6,12 6,03 2,87
Name2324 Surname2324 2,24 6,5 4,49 6,12 6,03 2,87
Name2325 Surname2325 2,24 6,5 4,49 6,12 6,03 2,87
Name2326 Surname2326 2,24 6,5 4,49 6,12 6,03 2,87
Name2327 Surname2327 2,24 6,5 4,49 6,12 6,03 2,87
Name2328 Surname2328 2,24 6,5 4,49 6,12 6,03 2,87
Name2329 Surname2329 2,24 6,5 4,49 6,12 6,03 2,87
Name2330 Surname2330 2,24 6,5 4,49 6,12 6,03 2,87
Name2331 Surname2331 2,24 6,5 4,49 6,12 6,03 2,87
Name2332 Surname2332 2,24 6,5 4,49 6,12 6,03 2,87
Name2333 Surname2333 2,24 6,5 4,49 6,12 6,03 2,87
Name2334 Surname2334 2,24 6,5 4,49 6,12 6,03 2,87
Name2335 Surname2335 2,24 6,5 4,49 6,12 6,03 2,87
Name2336 Surname2336 2,24 6,5 4,49 6,12 6,03 2,87
Name2337 Surname2337 2,24 6,5 4,49 6,12 6,03 2,87
Name2338 Surname2338 2,24 6,5 4,49 6,12 6,03 2,87
Name2339 Surname2339 2,24 6,5 4,49 6,12 6,03 2,87
Name2340 Surname2340 2,24 6,5 4,49 6,12 6,03 2,87
Name2341 Surname2341 2,24 6,5 4,49 6,12 6,03 2,87
Name2342 Surname2342 2,24 6,5 4,49 6,12 6,03 2,87
Name2343 Surname2343 2,24 6,5 4,49 6,12 6,03 2,87
Name2344 Surname2344 2,24 6,5 4,49 6,12 6,03 2,87
Name2345 Surname2345 2,24 6,5 4,49 6,12 6,03 2,87
Name2346 Surname2346 2,24 6,5 4,49 6,12 6,03 2,87
Name2347 Surname2347 2,24 6,5 4,49 6,12 6,03 2,87
Name2348 Surname2348 2,24 6,5 4,49 6,12 6,03 2,87
Name2349 Surname2349 2,24 6,5 4,49 6,12 6,03 2,87
Name2350 Surname2350 2,24 6,5 4,49 6,12 6,03 2,87
Name2351 Surname2351 2,24 6,5 4,49 6,12 6,03 2,87
Name2352 Surname2352 2,24 6,5 4,49 6,12 6,03 2,87
Name2353 Surname2353 2,24 6,5 4,49 6,12 6,03 2,87
Name2354 Surname2354 2,24 6,5 4,49 6,12 6,03 2,87
Name2355 Surname2355 2,24 6,5 4,49 6,12 6,03 2,87
Name2356 Surname2356 2,24 6,5 4,49 6,12 6,03 2,87
Name2357 Surname2357 2,24 6,5 4,49 6,12 6,03 2,87
Name2358 Surname2358 2,24 6,5 4,49 6,12 6,03 2,87
Name2359 Surname2359 2,24 6,5 4,49 6,12 6,03 2,87
Name2360 Surname2360 2,24 6,5 4,49 6,12 6,03 2,87
Name2361 Surname2361 2,24 6,5 4,49 6,12 6,03 2,87
Name2362 Surname2362 2,24 6,5 4,49 6,12 6,03 2,87
Name2363 Surname2363 2,24 6,5 4,49 6,12 6,03 2,87
Name2364 Surname2364 2,24 6,5 4,49 6,12 6,03 2,87
Name2365 Surname2365 2,24 6,5 4,49 6,12 6,03 2,87
Name2366 Surname2366 2,24 6,5 4,49 6,12 6,03 2,87
Name2367 Surname2367 2,24 6,5 4,49 6,12 6,03 2,87
Name2368 Surname2368 2,24 6,5 4,49 6,12 6,03 2,87
Name2369 Surname2369 2,24 6,5 4,49 6,12 6,03 2,87
Name2370 Surname2370 2,24 6,5 4,49 6,12 6,03 2,87
Name2371 Surname2371 2,24 6,5 4,49 6,12 6,03 2,87
Name2372 Surname2372 2,24 6,5 4,49 6,12 6,03 2,87
Name2373 Surname2373 2,24 6,5 4,49 6,12 6,03 2,87
Name2374 Surname2374 2,24 6,5 4,49 6,12 6,03 2,87
Name2375 Surname2375 2,24 6,5 4,49 6,12 6,03 2,87
Name2376 Surname2376 2,24 6,5 4,49 6,12 6,03 2,87
Name2377 Surname2377 2,24 6,5 4,49 6,12 6,03 2,87
Name2378 Surname2378 2,24 6,5 4,49 6,12 6,03 2,87
Name2379 Surname2379 2,24 6,5 4,49 6,12 6,03 2,87
Name2380 Surname2380 2,24 6,5 4,49 6,12 6,03 2,87
Name2381 Surname2381 2,24 6,5 4,49 6,12 6,03 2,87
Name2382 Surname2382 2,24 6,5 4,49 6,12 6,03 2,87
Name2383 Surname2383 2,24 6,5 4,49 6,12 6,03 2,87
Name2384 Surname2384 2,24 6,5 4,49 6,12 6,03 2,87
Name2385 Surname2385 2,24 6,5 4,49 6,12 6,03 2,87
Name2386 Surname2386 2,24 6,5 4,49 6,12 6,03 2,87
Name2387 Surname2387 2,24 6,5 4,49 6,12 6,03 2,87
Name2388 Surname2388 2,24 6,5 4,49 6,12 6,03 2,87
Name2389 Surname2389 2,24 6,5 4,49 6,12 6,03 2,87
Name2390 Surname2390 2,24 6,5 4,49 6,12 6,03 2,87
Name2391 Surname2391 2,24 6,5 4,49 6,12 6,03 2,87
Name2392 Surname2392 2,24 6,5 4,49 6,12 6,03 2,87
Name2393 Surname2393 2,24 6,5 4,49 6,12 6,03 2,87
Name2394 Surname2394 2,24 6,5 4,49 6,12 6,03 2,87
Name2395 Surname2395 2,24 6,5 4,49 6,12 6,03 2,87
Name2396 Surname2396 2,24 6,5 4,49 6,12 6,03 2,87
Name2397 Surname2397 2,24 6,5 4,49 6,12 6,03 2,87
Name2398 Surname2398 2,24 6,5 4,49 6,12 6,03 2,87
Name2399 Surname2399 2,24 6,5 4,49 6,12 6,03 2,87
Name2400 Surname2400 2,24 6,5 4,49 6,12 6,03 2,87
Name2401 Surname2401 2,24 6,5 4,49 6,12 6,03 2,87
Name2402 Surname2402 2,24 6,5 4,49 6,12 6,03 2,87
Name2403 Surname2403 2,24 6,5 4,49 6,12 6,03 2,87
Name2404 Surname2404 2,24 6,5 4,49 6,12 6,03 2,87
Name2405 Surname2405 2,24 6,5 4,49 6,12 6,03 2,87
Name2406 Surname2406 2,24 6,5 4,49 6,12 6,03 2,87
Name2407 Surname2407 2,24 6,5 4,49 6,12 6,03 2,87
Name2408 Surname2408 2,24 6,5 4,49 6,12 6,03 2,87
Name2409 Surname2409 2,24 6,5 4,49 6,12 6,03 2,87
Name2410 Surname2410 2,24 6,5 4,49 6,12 6,03 2,87
Name2411 Surname2411 2,24 6,5 4,49 6,12 6,03 2,87
Name2412 Surname2412 2,24 6,5 4,49 6,12 6,03 2,87
